,wage,marital-status_Married-civ-spouse,age education-num hours-per-week,age education-num^2,education-num^2 hours-per-week,education-num^3,age hours-per-week,marital-status_Never-married,age fnlwgt education-num,age,hours-per-week,relationship_Own-child,capital-gain,fnlwgt education-num^2,fnlwgt education-num hours-per-week,sex_Male,occupation_Exec-managerial,age fnlwgt hours-per-week,fnlwgt capital-gain,relationship_Not-in-family,education_Bachelors
0,0,0,20280.0,6591.0,6760.0,2197.0,1560.0,1,39300612.0,39,40,0,2174,13100204.0,40308320.0,1,0,120924960.0,168519784.0,1,1
1,0,1,8450.0,8450.0,2197.0,2197.0,650.0,0,54152150.0,50,13,0,0,14079559.0,14079559.0,1,1,54152150.0,0.0,0,1
2,0,0,13680.0,3078.0,3240.0,729.0,1520.0,0,73750932.0,38,40,0,0,17467326.0,77632560.0,1,0,327781920.0,0.0,1,0
3,0,1,14840.0,2597.0,1960.0,343.0,2120.0,0,87081491.0,53,40,0,0,11501329.0,65721880.0,1,0,497608520.0,0.0,0,0
4,0,1,14560.0,4732.0,6760.0,2197.0,1120.0,0,123180876.0,28,40,0,0,57191121.0,175972680.0,0,0,379018080.0,0.0,0,1
5,0,1,20720.0,7252.0,7840.0,2744.0,1480.0,0,147413476.0,37,40,0,0,55778072.0,159365920.0,0,1,421181360.0,0.0,0,0
6,0,0,3920.0,1225.0,400.0,125.0,784.0,0,39245815.0,49,16,0,0,4004675.0,12814960.0,0,0,125586608.0,0.0,1,0
7,1,1,21060.0,4212.0,3645.0,729.0,2340.0,0,98112456.0,52,45,0,0,16981002.0,84905010.0,1,1,490562280.0,0.0,0,0
8,1,0,21700.0,6076.0,9800.0,2744.0,1550.0,1,19868954.0,31,50,0,14084,8973076.0,32046700.0,0,0,70960550.0,644779604.0,1,0
9,1,1,21840.0,7098.0,6760.0,2197.0,1680.0,0,87059154.0,42,40,0,5178,26946881.0,82913480.0,1,1,267874320.0,825626922.0,0,1
10,1,1,29600.0,3700.0,8000.0,1000.0,2960.0,0,103771680.0,37,80,0,0,28046400.0,224371200.0,1,1,830173440.0,0.0,0,0
11,1,1,15600.0,5070.0,6760.0,2197.0,1200.0,0,55105830.0,30,40,0,0,23879193.0,73474440.0,1,0,169556400.0,0.0,0,1
12,0,0,8970.0,3887.0,5070.0,2197.0,690.0,1,36559328.0,23,30,1,0,20663968.0,47686080.0,0,0,84367680.0,0.0,0,1
13,0,0,19200.0,4608.0,7200.0,1728.0,1600.0,1,78727296.0,32,50,0,0,29522736.0,123011400.0,1,0,328030400.0,0.0,1,0
14,1,1,17600.0,4840.0,4840.0,1331.0,1600.0,0,53579680.0,40,40,0,0,14734412.0,53579680.0,1,0,194835200.0,0.0,0,0
15,0,1,6120.0,544.0,720.0,64.0,1530.0,0,33386232.0,34,45,0,0,3927792.0,44187660.0,1,0,375595110.0,0.0,0,0
16,0,0,7875.0,2025.0,2835.0,729.0,875.0,1,39770100.0,25,35,1,0,14317236.0,55678140.0,1,0,154661500.0,0.0,0,0
17,0,0,11520.0,2592.0,3240.0,729.0,1280.0,1,53805312.0,32,40,0,0,15132744.0,67256640.0,1,0,239134720.0,0.0,0,0
18,0,1,13300.0,1862.0,2450.0,343.0,1900.0,0,7683942.0,38,50,0,0,1415463.0,10110450.0,1,0,54885300.0,0.0,0,0
19,1,0,27090.0,8428.0,8820.0,2744.0,1935.0,0,175889350.0,43,45,0,0,57266300.0,184070250.0,0,1,565358625.0,0.0,0,0
20,1,1,38400.0,10240.0,15360.0,4096.0,2400.0,0,123855360.0,40,60,0,0,49542144.0,185783040.0,1,0,464457600.0,0.0,0,0
21,0,0,9720.0,4374.0,1620.0,729.0,1080.0,0,146842956.0,54,20,0,0,24473826.0,54386280.0,0,0,326317680.0,0.0,0,0
