marital-status_Married-civ-spouse,age education-num hours-per-week,age education-num^2,education-num^2 hours-per-week,education-num^3,age hours-per-week,marital-status_Never-married,age fnlwgt education-num,age,hours-per-week,relationship_Own-child,capital-gain,fnlwgt education-num^2,fnlwgt education-num hours-per-week,sex_Male,occupation_Exec-managerial,age fnlwgt hours-per-week,fnlwgt capital-gain,relationship_Not-in-family,education_Bachelors
0,7000.0,1225.0,1960.0,343.0,1000.0,1,39690350.0,25,40,1,0,11113298.0,63504560.0,1,0,226802000.0,0.0,0,0
1,17100.0,3078.0,4050.0,729.0,1900.0,0,30716388.0,38,50,0,0,7274934.0,40416300.0,1,0,170646600.0,0.0,0,0
1,13440.0,4032.0,5760.0,1728.0,1120.0,0,113215536.0,28,40,0,0,48520944.0,161736480.0,1,0,377385120.0,0.0,0,0
1,17600.0,4400.0,4000.0,1000.0,1760.0,0,70542120.0,44,40,0,7688,16032300.0,64129200.0,1,0,282168480.0,1232563224.0,0,0
0,5400.0,1800.0,3000.0,1000.0,540.0,1,18629460.0,18,30,1,0,10349700.0,31049100.0,0,0,55888380.0,0.0,0,0
0,6120.0,1224.0,1080.0,216.0,1020.0,1,40533372.0,34,30,0,0,7152948.0,35764740.0,1,0,202666860.0,0.0,1,0
0,10440.0,2349.0,3240.0,729.0,1160.0,1,59253786.0,29,40,0,0,18389106.0,81729360.0,1,0,263350160.0,0.0,0,0
1,30240.0,14175.0,7200.0,3375.0,2016.0,0,98871570.0,63,32,0,3103,23540850.0,50220480.0,1,0,210926016.0,324654478.0,0,0
0,9600.0,2400.0,4000.0,1000.0,960.0,1,88720080.0,24,40,0,0,36966700.0,147866800.0,0,0,354880320.0,0.0,0,0
1,2200.0,880.0,160.0,64.0,550.0,0,23099120.0,55,10,0,0,1679936.0,4199840.0,1,0,57747800.0,0.0,0,0
1,23400.0,5265.0,3240.0,729.0,2600.0,0,107905590.0,65,40,0,6418,14940774.0,66403440.0,1,0,479580400.0,1183825772.0,0,0
1,18720.0,6084.0,6760.0,2197.0,1440.0,0,99433620.0,36,40,0,0,35906585.0,110481800.0,1,0,305949600.0,0.0,0,1
0,9126.0,2106.0,3159.0,729.0,1014.0,1,19209294.0,26,39,0,0,6649371.0,28813941.0,0,0,83240274.0,0.0,1,0
1,18270.0,4698.0,2835.0,729.0,2030.0,0,156511782.0,58,35,0,0,24286311.0,94446765.0,1,0,608656930.0,0.0,0,0
